PERSON_ID,FIRST_NAME,LAST_NAME,TEAM,DESCRIPTION,ALL_NBA_TEAM_NUMBER,SEASON,MONTH,WEEK,CONFERENCE,TYPE,SUBTYPE1,SUBTYPE2,SUBTYPE3,PLAYER_ID,PLAYER_NAME
2.0,Byron,Scott,Los Angeles Lakers,All-Rookie Team,1.0,1983-84,,,1610612747,Award,Kia Motors,KIART,,2,
2.0,Byron,Scott,Los Angeles Lakers,NBA Champion,,1984-85,,,,Award,Champion,,,2,
2.0,Byron,Scott,Los Angeles Lakers,NBA Champion,,1986-87,,,,Award,Champion,,,2,
2.0,Byron,Scott,Los Angeles Lakers,NBA Champion,,1987-88,,,,Award,Champion,,,2,
2.0,Byron,Scott,Los Angeles Lakers,NBA Player of the Week,,1987-88,,1988-01-10T00:00:00,,Award,Kia Motors,KIPWK,,2,
17.0,Clyde,Drexler,Portland Trail Blazers,All-NBA,2.0,1987-88,,,1610612757,Award,Kia Motors,KIANT,,17,
17.0,Clyde,Drexler,Portland Trail Blazers,All-NBA,3.0,1989-90,,,1610612757,Award,Kia Motors,KIANT,,17,
17.0,Clyde,Drexler,Portland Trail Blazers,All-NBA,2.0,1990-91,,,1610612757,Award,Kia Motors,KIANT,,17,
17.0,Clyde,Drexler,Portland Trail Blazers,All-NBA,1.0,1991-92,,,1610612757,Award,Kia Motors,KIANT,,17,
17.0,Clyde,Drexler,Houston Rockets,All-NBA,3.0,1994-95,,,1610612745,Award,Kia Motors,KIANT,,17,
17.0,Clyde,Drexler,,Hall of Fame Inductee,,2004,,,,Award,Hall of Fame,,,17,
17.0,Clyde,Drexler,,NBA All-Star,,1985-86,,,,Award,All-Star,,,17,
17.0,Clyde,Drexler,,NBA All-Star,,1987-88,,,,Award,All-Star,,,17,
17.0,Clyde,Drexler,,NBA All-Star,,1988-89,,,,Award,All-Star,,,17,
17.0,Clyde,Drexler,,NBA All-Star,,1989-90,,,,Award,All-Star,,,17,
17.0,Clyde,Drexler,,NBA All-Star,,1990-91,,,,Award,All-Star,,,17,
17.0,Clyde,Drexler,,NBA All-Star,,1991-92,,,,Award,All-Star,,,17,
17.0,Clyde,Drexler,,NBA All-Star,,1992-93,,,,Award,All-Star,,,17,
17.0,Clyde,Drexler,,NBA All-Star,,1993-94,,,,Award,All-Star,,,17,
17.0,Clyde,Drexler,,NBA All-Star,,1995-96,,,,Award,All-Star,,,17,
17.0,Clyde,Drexler,,NBA All-Star,,1996-97,,,,Award,All-Star,,,17,
17.0,Clyde,Drexler,Houston Rockets,NBA Champion,,1994-95,,,,Award,Champion,,,17,
17.0,Clyde,Drexler,Portland Trail Blazers,NBA Player of the Month,,1991-92,11/01/1991,,,Award,Kia Motors,KIPMO,,17,
17.0,Clyde,Drexler,Portland Trail Blazers,NBA Player of the Week,,1985-86,,1986-01-05T00:00:00,,Award,Kia Motors,KIPWK,,17,
17.0,Clyde,Drexler,Portland Trail Blazers,NBA Player of the Week,,1987-88,,1987-11-29T00:00:00,,Award,Kia Motors,KIPWK,,17,
17.0,Clyde,Drexler,Portland Trail Blazers,NBA Player of the Week,,1987-88,,1987-12-06T00:00:00,,Award,Kia Motors,KIPWK,,17,
17.0,Clyde,Drexler,Portland Trail Blazers,NBA Player of the Week,,1987-88,,1988-03-13T00:00:00,,Award,Kia Motors,KIPWK,,17,
17.0,Clyde,Drexler,Portland Trail Blazers,NBA Player of the Week,,1988-89,,1988-12-25T00:00:00,,Award,Kia Motors,KIPWK,,17,
17.0,Clyde,Drexler,Portland Trail Blazers,NBA Player of the Week,,1988-89,,1989-04-09T00:00:00,,Award,Kia Motors,KIPWK,,17,
17.0,Clyde,Drexler,Portland Trail Blazers,NBA Player of the Week,,1989-90,,1989-11-26T00:00:00,,Award,Kia Motors,KIPWK,,17,
17.0,Clyde,Drexler,Portland Trail Blazers,NBA Player of the Week,,1990-91,,1990-11-18T00:00:00,,Award,Kia Motors,KIPWK,,17,
17.0,Clyde,Drexler,Portland Trail Blazers,NBA Player of the Week,,1990-91,,1991-03-31T00:00:00,,Award,Kia Motors,KIPWK,,17,
17.0,Clyde,Drexler,Portland Trail Blazers,NBA Player of the Week,,1990-91,,1991-04-14T00:00:00,,Award,Kia Motors,KIPWK,,17,
17.0,Clyde,Drexler,Houston Rockets,NBA Player of the Week,,1994-95,,1995-04-09T00:00:00,,Award,Kia Motors,KIPWK,,17,
17.0,Clyde,Drexler,USA,Olympic Gold Medal,,1992,,,,Award,Olympic,Gold,,17,
22.0,Rik,Smits,Indiana Pacers,All-Rookie Team,1.0,1988-89,,,1610612754,Award,Kia Motors,KIART,,22,
22.0,Rik,Smits,,NBA All-Star,,1997-98,,,,Award,All-Star,,,22,
22.0,Rik,Smits,Indiana Pacers,NBA Player of the Week,,1994-95,,1995-03-12T00:00:00,,Award,Kia Motors,KIPWK,,22,
22.0,Rik,Smits,Indiana Pacers,NBA Player of the Week,,1997-98,,1998-01-04T00:00:00,,Award,Kia Motors,KIPWK,,22,
23.0,Dennis,Rodman,Detroit Pistons,All-Defensive Team,1.0,1988-89,,,1610612765,Award,Kia Motors,KIADT,,23,
23.0,Dennis,Rodman,Detroit Pistons,All-Defensive Team,1.0,1989-90,,,1610612765,Award,Kia Motors,KIADT,,23,
23.0,Dennis,Rodman,Detroit Pistons,All-Defensive Team,1.0,1990-91,,,1610612765,Award,Kia Motors,KIADT,,23,
23.0,Dennis,Rodman,Detroit Pistons,All-Defensive Team,1.0,1991-92,,,1610612765,Award,Kia Motors,KIADT,,23,
23.0,Dennis,Rodman,Detroit Pistons,All-Defensive Team,1.0,1992-93,,,1610612765,Award,Kia Motors,KIADT,,23,
23.0,Dennis,Rodman,San Antonio Spurs,All-Defensive Team,2.0,1993-94,,,1610612759,Award,Kia Motors,KIADT,,23,
23.0,Dennis,Rodman,San Antonio Spurs,All-Defensive Team,1.0,1994-95,,,1610612759,Award,Kia Motors,KIADT,,23,
23.0,Dennis,Rodman,Chicago Bulls,All-Defensive Team,1.0,1995-96,,,1610612741,Award,Kia Motors,KIADT,,23,
23.0,Dennis,Rodman,Detroit Pistons,All-NBA,3.0,1991-92,,,1610612765,Award,Kia Motors,KIANT,,23,
23.0,Dennis,Rodman,San Antonio Spurs,All-NBA,3.0,1994-95,,,1610612759,Award,Kia Motors,KIANT,,23,
23.0,Dennis,Rodman,,Hall of Fame Inductee,,2011,,,,Award,Hall of Fame,,,23,
23.0,Dennis,Rodman,Detroit Pistons,IBM Award,,1991-92,,,,Award,IBM,IBMAW,,23,
23.0,Dennis,Rodman,,NBA All-Star,,1989-90,,,,Award,All-Star,,,23,
23.0,Dennis,Rodman,,NBA All-Star,,1991-92,,,,Award,All-Star,,,23,
23.0,Dennis,Rodman,Detroit Pistons,NBA Champion,,1988-89,,,,Award,Champion,,,23,
23.0,Dennis,Rodman,Detroit Pistons,NBA Champion,,1989-90,,,,Award,Champion,,,23,
23.0,Dennis,Rodman,Chicago Bulls,NBA Champion,,1995-96,,,,Award,Champion,,,23,
23.0,Dennis,Rodman,Chicago Bulls,NBA Champion,,1996-97,,,,Award,Champion,,,23,
23.0,Dennis,Rodman,Chicago Bulls,NBA Champion,,1997-98,,,,Award,Champion,,,23,
23.0,Dennis,Rodman,Detroit Pistons,NBA Defensive Player of the Year,,1989-90,,,,Award,Kia Motors,KDPYR,,23,
23.0,Dennis,Rodman,Detroit Pistons,NBA Defensive Player of the Year,,1990-91,,,,Award,Kia Motors,KDPYR,,23,
23.0,Dennis,Rodman,Detroit Pistons,NBA Player of the Month,,1991-92,01/01/1992,,,Award,Kia Motors,KIPMO,,23,
23.0,Dennis,Rodman,Detroit Pistons,NBA Player of the Week,,1991-92,,1991-12-15T00:00:00,,Award,Kia Motors,KIPWK,,23,
26.0,Luc,Longley,Chicago Bulls,NBA Champion,,1995-96,,,,Award,Champion,,,26,
26.0,Luc,Longley,Chicago Bulls,NBA Champion,,1996-97,,,,Award,Champion,,,26,
26.0,Luc,Longley,Chicago Bulls,NBA Champion,,1997-98,,,,Award,Champion,,,26,
26.0,Luc,Longley,Australia,Olympic Appearance,,1988,,,,Award,Olympic,Appearance,,26,
