PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,PASSES_MADE,PASSES_RECEIVED,AST,FT_AST,SECONDARY_AST,POTENTIAL_AST,AST_POINTS_CREATED,AST_ADJ,AST_TO_PASS_PCT,AST_TO_PASS_PCT_ADJ,SEASON,PT_MEASURE,MIN1,DIST_FEET,DIST_MILES,DIST_MILES_OFF,DIST_MILES_DEF,AVG_SPEED,AVG_SPEED_OFF,AVG_SPEED_DEF,OREB,OREB_CONTEST,OREB_UNCONTEST,OREB_CONTEST_PCT,OREB_CHANCES,OREB_CHANCE_PCT,OREB_CHANCE_DEFER,OREB_CHANCE_PCT_ADJ,AVG_OREB_DIST,DREB,DREB_CONTEST,DREB_UNCONTEST,DREB_CONTEST_PCT,DREB_CHANCES,DREB_CHANCE_PCT,DREB_CHANCE_DEFER,DREB_CHANCE_PCT_ADJ,AVG_DREB_DIST,REB,REB_CONTEST,REB_UNCONTEST,REB_CONTEST_PCT,REB_CHANCES,REB_CHANCE_PCT,REB_CHANCE_DEFER,REB_CHANCE_PCT_ADJ,AVG_REB_DIST,DRIVES,DRIVE_FGM,DRIVE_FGA,DRIVE_FG_PCT,DRIVE_FTM,DRIVE_FTA,DRIVE_FT_PCT,DRIVE_PTS,DRIVE_PTS_PCT,DRIVE_PASSES,DRIVE_PASSES_PCT,DRIVE_AST,DRIVE_AST_PCT,DRIVE_TOV,DRIVE_TOV_PCT,DRIVE_PF,DRIVE_PF_PCT
201985,AJ Price,1610612750,MIN,28,15,13,3.5,6.4,7.6,0.5,0.1,0.1,0.9,1.2,0.6,0.073,0.096,2013-14,Passing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201166,Aaron Brooks,1610612743,DEN,72,42,30,21.6,28.1,34.5,3.2,0.5,0.4,6.4,7.9,4.0,0.115,0.144,2013-14,Passing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201189,Aaron Gray,1610612758,SAC,36,11,25,9.7,11.4,6.6,0.6,0.1,0.0,1.4,1.5,0.7,0.051,0.064,2013-14,Passing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203519,Adonis Thomas,1610612755,PHI,6,2,4,6.3,3.8,4.5,0.5,0.0,0.0,0.7,1.0,0.5,0.13,0.13,2013-14,Passing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1733,Al Harrington,1610612764,WAS,33,20,13,15.0,17.2,15.3,0.8,0.0,0.1,1.6,1.9,0.9,0.048,0.051,2013-14,Passing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201143,Al Horford,1610612737,ATL,29,16,13,33.0,43.5,40.2,2.6,0.5,0.3,6.1,7.2,3.6,0.06,0.082,2013-14,Passing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2744,Al Jefferson,1610612766,CHA,72,37,35,35.0,26.5,37.0,2.1,0.3,0.4,4.7,5.4,2.8,0.081,0.106,2013-14,Passing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202329,Al-Farouq Aminu,1610612740,NOP,80,33,47,25.6,22.6,17.7,1.4,0.2,0.1,3.0,3.2,1.7,0.063,0.075,2013-14,Passing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101187,Alan Anderson,1610612751,BKN,77,42,35,22.7,18.1,20.0,1.0,0.2,0.1,2.3,2.6,1.3,0.055,0.072,2013-14,Passing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202692,Alec Burks,1610612762,UTA,78,24,54,28.1,37.0,43.7,2.7,0.4,0.4,6.3,6.7,3.4,0.074,0.093,2013-14,Passing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203458,Alex Len,1610612756,PHX,42,24,18,8.6,8.9,4.7,0.1,0.0,0.0,0.4,0.3,0.1,0.011,0.013,2013-14,Passing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203144,Alexey Shved,1610612750,MIN,63,28,35,10.5,10.4,13.1,1.1,0.2,0.2,2.6,2.8,1.4,0.104,0.137,2013-14,Passing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201582,Alexis Ajinca,1610612740,NOP,56,22,34,17.0,20.6,12.1,0.7,0.1,0.1,1.4,1.9,0.9,0.035,0.044,2013-14,Passing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203459,Allen Crabbe,1610612757,POR,15,12,3,6.7,5.8,6.7,0.4,0.0,0.0,1.1,0.8,0.3,0.069,0.057,2013-14,Passing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202087,Alonzo Gee,1610612739,CLE,65,29,36,15.7,15.0,13.7,0.7,0.1,0.1,1.7,1.8,0.9,0.048,0.062,2013-14,Passing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2405,Amar'e Stoudemire,1610612752,NYK,65,26,39,22.6,17.6,18.4,0.5,0.0,0.1,1.6,1.5,0.7,0.03,0.039,2013-14,Passing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101161,Amir Johnson,1610612761,TOR,76,42,34,28.7,36.4,28.0,1.5,0.3,0.1,3.3,3.8,1.9,0.04,0.052,2013-14,Passing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2760,Anderson Varejao,1610612739,CLE,65,25,40,27.7,41.2,25.2,2.2,0.3,0.2,4.5,5.4,2.6,0.052,0.063,2013-14,Passing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101154,Andray Blatche,1610612751,BKN,72,39,33,22.1,26.3,24.5,1.5,0.2,0.1,3.2,3.9,1.7,0.056,0.064,2013-14,Passing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
